"","name","updated","value","date","year","month","week"
"1","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",6.102,2022-06-27,2022,6,26
"2","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",6.167,2022-06-20,2022,6,25
"3","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",6.225,2022-06-13,2022,6,24
"4","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",6.134,2022-06-06,2022,6,23
"5","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.942,2022-05-30,2022,5,22
"6","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.857,2022-05-23,2022,5,21
"7","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.765,2022-05-16,2022,5,20
"8","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.634,2022-05-09,2022,5,19
"9","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.545,2022-05-02,2022,5,18
"10","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.525,2022-04-25,2022,4,17
"11","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.574,2022-04-18,2022,4,16
"12","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.641,2022-04-11,2022,4,15
"13","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.752,2022-04-04,2022,4,14
"14","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.831,2022-03-28,2022,3,13
"15","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.74,2022-03-21,2022,3,12
"16","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.603,2022-03-14,2022,3,11
"17","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",5.203,2022-03-07,2022,3,10
"18","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.671,2022-02-28,2022,2,9
"19","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.557,2022-02-21,2022,2,8
"20","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.531,2022-02-14,2022,2,7
"21","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.499,2022-02-07,2022,2,6
"22","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.476,2022-01-31,2022,1,5
"23","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.46,2022-01-24,2022,1,4
"24","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.476,2022-01-17,2022,1,3
"25","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.478,2022-01-10,2022,1,2
"26","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.474,2022-01-03,2022,1,1
"27","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.456,2021-12-27,2021,12,52
"28","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.462,2021-12-20,2021,12,51
"29","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.477,2021-12-13,2021,12,50
"30","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.495,2021-12-06,2021,12,49
"31","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.52,2021-11-29,2021,11,48
"32","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.515,2021-11-22,2021,11,47
"33","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.492,2021-11-15,2021,11,46
"34","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.406,2021-11-08,2021,11,45
"35","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.385,2021-11-01,2021,11,44
"36","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.369,2021-10-25,2021,10,43
"37","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.308,2021-10-18,2021,10,42
"38","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.232,2021-10-11,2021,10,41
"39","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.206,2021-10-04,2021,10,40
"40","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.199,2021-09-27,2021,9,39
"41","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.184,2021-09-20,2021,9,38
"42","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.185,2021-09-13,2021,9,37
"43","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.185,2021-09-06,2021,9,36
"44","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.187,2021-08-30,2021,8,35
"45","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.19,2021-08-23,2021,8,34
"46","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.2,2021-08-16,2021,8,33
"47","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.189,2021-08-09,2021,8,32
"48","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.181,2021-08-02,2021,8,31
"49","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.166,2021-07-26,2021,7,30
"50","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.167,2021-07-19,2021,7,29
"51","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.151,2021-07-12,2021,7,28
"52","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.116,2021-07-05,2021,7,27
"53","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.093,2021-06-28,2021,6,26
"54","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.064,2021-06-21,2021,6,25
"55","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.068,2021-06-14,2021,6,24
"56","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.069,2021-06-07,2021,6,23
"57","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",4.043,2021-05-31,2021,5,22
"58","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.987,2021-05-24,2021,5,21
"59","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.966,2021-05-17,2021,5,20
"60","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.943,2021-05-10,2021,5,19
"61","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.902,2021-05-03,2021,5,18
"62","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.857,2021-04-26,2021,4,17
"63","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.825,2021-04-19,2021,4,16
"64","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.789,2021-04-12,2021,4,15
"65","Los Angeles Regular All Formulations Retail Gasoline Prices, Weekly","2022-06-29T18:14:10-0400",3.782,2021-04-05,2021,4,14
